point_id,Longitude,Latitude,phenophase_date,image_date,days_to_image,region,crop_type,phenophase_name,B_B01,B_B02,B_B03,B_B04,B_B05,B_B06,B_B07,B_B08,B_B09,B_B11,B_B12,B_B8A,NDVI,NDBI,NDMI,GNDVI,EVI,MNDWI
1,125.5264398,49.33953333,2018/6/7,2018-05-29,9,region09,soybean,Greenup,0.06449999660253525,0.06109999865293503,0.07599999755620956,0.07410000264644623,0.11599999666213989,0.1818999946117401,0.22429999709129333,0.21719999611377716,0.1923999935388565,0.2362000048160553,0.1907999962568283,0.219200000166893,0.4912461176668945,0.041905621224774876,-0.041905621224774876,0.4815825429945139,0.2972456292638892,-0.513132626657781
1,125.5264398,49.33953333,2018/6/30,2018-06-28,2,region09,soybean,MidGreenup,31.0,23.0,21.0,16.0,25.0,56.0,66.0,59.0,14.0,49.0,28.0,75.0,0.5733333333333334,-0.09259259259259259,0.09259259259259259,0.475,-6.515151515151516,-0.4
1,125.5264398,49.33953333,2018/8/6,2018-07-31,6,region09,soybean,Peak,0.026200000196695328,0.026799999177455902,0.04560000076889992,0.023600000888109207,0.0723000019788742,0.3418999910354614,0.44839999079704285,0.4016000032424927,0.5685999989509583,0.19750000536441803,0.09239999949932098,0.4652999937534332,0.8889934117645946,-0.3406776747552868,0.3406776747552868,0.7960643991061402,0.7040679447979706,-0.6248457456320053
1,125.5264398,49.33953333,2018/7/22,2018-07-26,4,region09,soybean,Maturity,0.024900000542402267,0.02280000038444996,0.046300001442432404,0.02239999920129776,0.0771000012755394,0.31360000371932983,0.400299996137619,0.40720000863075256,0.5669999718666077,0.21070000529289246,0.09260000288486481,0.4404999911785126,0.895716951615816,-0.31801262163774924,0.31801262163774924,0.7958103620109707,0.701882403986009,-0.6396887141710068
1,125.5264398,49.33953333,2018/9/12,2018-09-09,3,region09,soybean,MidSenescence,0.01940000057220459,0.021700000390410423,0.033799998462200165,0.024000000208616257,0.06780000030994415,0.21580000221729279,0.24140000343322754,0.24779999256134033,0.3005000054836273,0.1745000034570694,0.09030000120401382,0.2955999970436096,0.8233995522661464,-0.17357326496653697,0.17357326496653697,0.759943185087853,0.4552296367367045,-0.6754680926474502
1,125.5264398,49.33953333,2018/8/21,2018-08-15,6,region09,soybean,Senescence,0.026000000536441803,0.020999999716877937,0.039500001817941666,0.020999999716877937,0.06769999861717224,0.31850001215934753,0.4198000133037567,0.40880000591278076,0.590399980545044,0.20559999346733093,0.08579999953508377,0.46880000829696655,0.9022801328905854,-0.3307291872566162,0.3307291872566162,0.8237787145358789,0.7039134618665004,-0.6776825575050094
1,125.5264398,49.33953333,2018/10/3,2018-10-04,1,region09,soybean,Dormancy,0.033399999141693115,0.01979999989271164,0.034699998795986176,0.04450000077486038,0.09009999781847,0.1527000069618225,0.16439999639987946,0.14920000731945038,0.21400000154972076,0.19539999961853027,0.12460000067949295,0.18320000171661377,0.5405265987062454,0.13406846015355633,-0.13406846015355633,0.6226210153119353,0.20647630647952692,-0.6983920118636816
2,125.5319206,49.33910503,2018/6/6,2018-05-29,8,region09,soybean,Greenup,0.0625,0.0706000030040741,0.0860000029206276,0.09679999947547913,0.12160000205039978,0.1875,0.21480000019073486,0.2401999980211258,0.18639999628067017,0.23909999430179596,0.19099999964237213,0.2199999988079071,0.4255192866791975,-0.0022950213581241236,0.0022950213581241236,0.47271610869195646,0.2775842075425007,-0.4709319984288465
2,125.5319206,49.33910503,2018/6/29,2018-06-28,1,region09,soybean,MidGreenup,32.0,25.0,24.0,19.0,25.0,54.0,61.0,67.0,13.0,53.0,33.0,72.0,0.5581395348837209,-0.11666666666666667,0.11666666666666667,0.4725274725274725,-21.818181818181817,-0.37662337662337664
2,125.5319206,49.33910503,2018/8/6,2018-07-31,6,region09,soybean,Peak,0.026100000366568565,0.029500000178813934,0.048700001090765,0.024000000208616257,0.06239999830722809,0.3133000135421753,0.3605000078678131,0.4291999936103821,0.48420000076293945,0.18950000405311584,0.08980000019073486,0.40630000829696655,0.8940864936630978,-0.38742523106915483,0.38742523106915483,0.7961916650732781,0.7492880567765602,-0.591099915708662
2,125.5319206,49.33910503,2018/7/22,2018-07-26,4,region09,soybean,Maturity,0.023800000548362732,0.023399999365210533,0.04560000076889992,0.02239999920129776,0.07129999995231628,0.328900009393692,0.3921000063419342,0.4032000005245209,0.4918000102043152,0.20430000126361847,0.09210000187158585,0.4097000062465668,0.8947368457907502,-0.32740740522708206,0.32740740522708206,0.7967914410094348,0.6989207862589606,-0.6350540184232076
2,125.5319206,49.33910503,2018/9/11,2018-09-09,2,region09,soybean,MidSenescence,0.017100000753998756,0.02800000086426735,0.04699999839067459,0.03229999914765358,0.07810000330209732,0.2084999978542328,0.24300000071525574,0.30660000443458557,0.26579999923706055,0.17350000143051147,0.09950000047683716,0.2809000015258789,0.8093833059531644,-0.277233912472548,0.277233912472548,0.7341629071541566,0.5314243777302577,-0.5736961593760623
2,125.5319206,49.33910503,2018/8/21,2018-08-15,6,region09,soybean,Senescence,0.025699999183416367,0.026000000536441803,0.0502999983727932,0.024700000882148743,0.07320000231266022,0.33239999413490295,0.4311000108718872,0.46480000019073486,0.5162000060081482,0.20440000295639038,0.09009999781847,0.4830000102519989,0.899080691203222,-0.38912133294938867,0.38912133294938867,0.8046981226438904,0.7759167821850376,-0.6050255350585284
2,125.5319206,49.33910503,2018/10/2,2018-10-04,2,region09,soybean,Dormancy,0.043699998408555984,0.042399998754262924,0.07959999889135361,0.09539999812841415,0.1388999968767166,0.20329999923706055,0.22290000319480896,0.27639999985694885,0.22930000722408295,0.24660000205039978,0.1647000014781952,0.2508000135421753,0.4868208787232438,-0.0569789630934423,0.0569789630934423,0.55280899342007,0.2955970766404901,-0.5119558635098406
