feature,importance_gain,importance_split
Longitude,65076.00842502713,3474
Latitude,60513.40526032448,3643
MNDWI,11546.62517401576,1013
B_B12,6722.068605303764,408
B_B05,5183.548790752888,551
B_B11,4036.785557985306,451
NDBI,3599.162105590105,317
phenophase_date_doy_cos,2833.3011834025383,385
B_B04,2592.3340578973293,375
image_date_doy_cos,2339.9872026741505,319
phenophase_date_doy_sin,2229.2715456187725,507
B_B09,1907.6975369155407,350
B_B06,1906.4308248758316,208
image_date_doy_sin,1620.6338734030724,239
B_B02,1452.7861475646496,184
NDVI,1426.5547534525394,337
NDMI,1335.3375177681446,194
GNDVI,1055.8571572899818,166
B_B01,1042.8802990019321,220
B_B07,928.7529792487621,114
B_B03,756.2902279496193,100
EVI,587.1056817770004,112
B_B08,429.01983773708344,97
days_to_image,393.3556084930897,89
B_B8A,355.9308207631111,94
phenophase_date_month_sin,166.31490862369537,18
phenophase_date_month_cos,49.19449031352997,8
image_date_month_sin,29.3402202129364,6
image_date_month_cos,0.0,0
