number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_drop_rate,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_skip_drop,params_subsample,params_subsample_freq,state
0,0.9332122188732676,2026-05-02 21:15:02.421950,2026-05-02 21:15:20.585807,0 days 00:00:18.163857,dart,0.8686326600082205,0.06181974245763315,0.026292183092620925,103,3,11,0.41622132040021087,1911,26,1.5320059381854043e-08,5.360294728728285,0.22838315689740368,0.9397792655987208,5,COMPLETE
1,0.9033696762990716,2026-05-02 21:15:20.590136,2026-05-02 21:15:32.058590,0 days 00:00:11.468454,dart,0.9033291826268561,0.1597353159373308,0.011211012365328633,71,3,38,0.29620728443102123,1250,82,6.267062696005991e-07,0.00042472707398058225,0.2193668865811041,0.7148628294821613,4,COMPLETE
2,0.971220749071104,2026-05-02 21:15:32.062645,2026-05-02 21:15:48.375832,0 days 00:00:16.313187,dart,0.7728296095500716,0.09169354750056452,0.04703026275515195,190,3,84,0.12938999080000846,2425,44,2.039373116525212e-08,1.527156759251193,0.46404761482446766,0.7480686221828206,1,COMPLETE
3,0.9759856511553074,2026-05-02 21:15:48.380679,2026-05-02 21:15:48.811052,0 days 00:00:00.430373,gbdt,0.6381922880886154,,0.04288672925586801,115,11,74,0.194338644844741,2434,121,2.5529693461039728e-08,8.471746987003668e-06,,0.9648434057604025,1,COMPLETE
4,0.9805933140792028,2026-05-02 21:15:48.814364,2026-05-02 21:15:49.342294,0 days 00:00:00.527930,gbdt,0.6394220566903777,,0.02251340595950629,203,10,13,0.35342867192380856,918,25,1.1212412169964432e-08,0.2183498289760726,,0.9940991214702328,6,COMPLETE
5,0.9745034449307148,2026-05-02 21:15:49.345871,2026-05-02 21:15:50.792121,0 days 00:00:01.446250,gbdt,0.6963324949120362,,0.006894301219471976,154,8,43,0.44360637128816327,1088,112,0.036851536911881845,0.005470376807480391,,0.5786012576287107,3,COMPLETE
6,0.9745120946069501,2026-05-02 21:15:50.796438,2026-05-02 21:16:07.693776,0 days 00:00:16.897338,dart,0.598551142146987,0.2287402890030014,0.023703642788018935,161,7,65,0.15717799053816334,1974,101,1.9180621318615033e-08,0.005341874754868531,0.27450456040421245,0.7423934582613474,1,COMPLETE
7,0.9165458510653203,2026-05-02 21:16:07.697147,2026-05-02 21:16:09.282312,0 days 00:00:01.585165,dart,0.942157265584473,0.2057112356877344,0.006189606672462582,167,3,112,0.4462794992449889,803,43,0.1710207048797339,4.776728196949699e-07,0.7272639099464453,0.9136541708039876,5,COMPLETE
8,0.978115009795819,2026-05-02 21:16:09.285292,2026-05-02 21:16:09.920668,0 days 00:00:00.635376,gbdt,0.6499485147118287,,0.016340262437673857,125,11,5,0.4714548519562596,801,106,1.1989147575590843e-07,1.0927895733904103e-05,,0.7798362861599046,3,COMPLETE
9,0.9728373685876429,2026-05-02 21:16:09.923922,2026-05-02 21:16:16.841438,0 days 00:00:06.917516,dart,0.5665991263095398,0.22890115377233036,0.07397964260767156,116,4,62,0.025739375624994676,1100,124,0.003062520509464317,0.0003342806277473177,0.2676933234668807,0.6853952394175464,2,COMPLETE
10,0.97166097458259,2026-05-02 21:16:16.844419,2026-05-02 21:16:17.217354,0 days 00:00:00.372935,gbdt,0.7497318396751259,,0.01274591951593693,239,8,30,0.321822554190479,313,10,1.0498796393327273e-05,0.21495810818775887,,0.8444694352468389,7,COMPLETE
11,0.9777358438743294,2026-05-02 21:16:17.219738,2026-05-02 21:16:17.853445,0 days 00:00:00.633707,gbdt,0.6789603415722625,,0.016710391849402692,226,12,5,0.494989239759853,611,77,2.3788433031217224e-05,5.988530921734077e-08,,0.8406353983164585,7,COMPLETE
12,0.9614626322905325,2026-05-02 21:16:17.856670,2026-05-02 21:16:18.183326,0 days 00:00:00.326656,gbdt,0.6971252273817387,,0.030399829088499402,200,10,19,0.3543706743208145,1575,56,5.832212752183789,5.43905898266636e-06,,0.6065300869039434,5,COMPLETE
13,0.9793179347349228,2026-05-02 21:16:18.185981,2026-05-02 21:16:18.982944,0 days 00:00:00.796963,gbdt,0.5516639069306593,,0.01547983555264149,141,10,26,0.37811810898404574,723,96,8.519301321425888e-07,0.10699113562545419,,0.8420751809098664,3,COMPLETE
14,0.978931147581326,2026-05-02 21:16:18.985947,2026-05-02 21:16:19.674703,0 days 00:00:00.688756,gbdt,0.5502102641475255,,0.010881944135803718,218,9,25,0.3758558487456328,441,92,2.905490007353838e-06,0.07956857590417335,,0.8746614961144514,6,COMPLETE
15,0.9725992823693973,2026-05-02 21:16:19.677570,2026-05-02 21:16:20.611807,0 days 00:00:00.934237,gbdt,0.608858087026207,,0.008331327594347088,250,5,49,0.2714581132380469,810,60,0.0001673789745573068,0.041616196151704955,,0.9991441516347556,3,COMPLETE
16,0.9756864246806617,2026-05-02 21:16:20.614944,2026-05-02 21:16:21.019332,0 days 00:00:00.404388,gbdt,0.8314597709187465,,0.03964446721983963,185,6,99,0.2279549056143347,1512,21,4.866476180262578e-07,0.7751952310012651,,0.8075785274354857,4,COMPLETE
17,0.9789788881618035,2026-05-02 21:16:21.021638,2026-05-02 21:16:21.526261,0 days 00:00:00.504623,gbdt,0.7216903488244995,,0.01894382406893618,141,10,52,0.3681465439943041,577,70,5.110866438251067e-07,0.008349362462520844,,0.8975096014665436,6,COMPLETE
18,0.9747571520150261,2026-05-02 21:16:21.530270,2026-05-02 21:16:21.896941,0 days 00:00:00.366671,gbdt,0.6041226846368308,,0.031238957320509513,85,12,31,0.3934053326157454,977,90,6.602183491225157e-05,3.522614681479353,,0.9997635233573302,6,COMPLETE
19,0.9761173019929789,2026-05-02 21:16:21.899878,2026-05-02 21:16:22.606353,0 days 00:00:00.706475,gbdt,0.8353058466581745,,0.014005405055995875,205,9,18,0.31875252942917176,1244,41,0.0008849299239384577,0.19392610340795396,,0.6501726873282037,2,COMPLETE
20,0.9786856405074621,2026-05-02 21:16:22.609357,2026-05-02 21:16:22.819643,0 days 00:00:00.210286,gbdt,0.643431833415892,,0.06174620451164098,175,7,39,0.23903108972516474,1713,27,3.878406728656666e-06,0.0013469034959364692,,0.9459601154097603,4,COMPLETE
21,0.9778355150513981,2026-05-02 21:16:22.821912,2026-05-02 21:16:23.392391,0 days 00:00:00.570479,gbdt,0.734635054820615,,0.021201236264850546,142,10,52,0.3417340034725124,550,70,3.1488601461317295e-07,0.009665312836966401,,0.893154617227373,6,COMPLETE
22,0.9793532123112222,2026-05-02 21:16:23.394828,2026-05-02 21:16:23.891932,0 days 00:00:00.497104,gbdt,0.7269652007426125,,0.01934280277257778,137,10,20,0.39356708037535953,642,60,7.679037627619446e-08,0.02454014202048799,,0.865282644553021,7,COMPLETE
23,0.9732742277263909,2026-05-02 21:16:23.894913,2026-05-02 21:16:24.429828,0 days 00:00:00.534915,gbdt,0.7996530442682412,,0.020157217227411917,138,11,16,0.4108405282225152,844,9,1.0129440148503827e-07,0.04434737349634867,,0.8267900404696227,7,COMPLETE
24,0.9779849114647391,2026-05-02 21:16:24.433024,2026-05-02 21:16:25.303836,0 days 00:00:00.870812,gbdt,0.592799685234933,,0.008569342544389421,102,9,24,0.2680034509316092,669,56,2.0063005323234014e-06,0.49663723207053906,,0.7956330496831995,7,COMPLETE
