feature,importance_gain,importance_split
phenophase_date_doy_cos,164936.3086528331,7341
phenophase_date_doy_sin,153273.25163197517,10364
phenophase_date_month_sin,45904.66320581734,777
EVI,18551.794346794486,1303
image_date_doy_cos,15306.49474415183,684
image_date_doy_sin,9410.661423027515,644
NDVI,6037.759438231587,1727
image_date_month_sin,5914.076201736927,166
GNDVI,2833.5858487188816,798
NDBI,2543.0610176175833,1668
NDMI,1968.7847340255976,1072
B_B09,1711.9716202169657,972
Latitude,1540.3409582972527,1234
days_to_image,1407.9601297527552,913
B_B04,1304.6003852188587,1558
image_date_month_cos,1204.5849011540413,175
Longitude,722.9616704434156,563
MNDWI,571.011224642396,701
B_B01,493.60649916529655,772
B_B06,403.99841383099556,643
B_B02,315.71948014199734,490
B_B07,311.61884194612503,135
phenophase_date_month_cos,301.2269642651081,119
B_B03,278.61211666464806,183
B_B05,262.6978159248829,304
B_B12,247.38822665810585,137
B_B8A,229.14120297133923,262
B_B11,100.5176095366478,64
B_B08,99.60797408223152,130
