point_id,Longitude,Latitude,phenophase_date,crop_type,phenophase_name
1,125.5264398,49.33953333,2018/6/7,soybean,Greenup
1,125.5264398,49.33953333,2018/6/30,soybean,MidGreenup
1,125.5264398,49.33953333,2018/8/6,soybean,Peak
1,125.5264398,49.33953333,2018/7/22,soybean,Maturity
1,125.5264398,49.33953333,2018/9/12,soybean,MidSenescence
1,125.5264398,49.33953333,2018/8/21,soybean,Senescence
1,125.5264398,49.33953333,2018/10/3,soybean,Dormancy
2,125.5319206,49.33910503,2018/6/6,soybean,Greenup
2,125.5319206,49.33910503,2018/6/29,soybean,MidGreenup
2,125.5319206,49.33910503,2018/8/6,soybean,Peak
2,125.5319206,49.33910503,2018/7/22,soybean,Maturity
2,125.5319206,49.33910503,2018/9/11,soybean,MidSenescence
2,125.5319206,49.33910503,2018/8/21,soybean,Senescence
2,125.5319206,49.33910503,2018/10/2,soybean,Dormancy
3,125.5273013,49.33491719,2018/5/31,soybean,Greenup
3,125.5273013,49.33491719,2018/6/26,soybean,MidGreenup
3,125.5273013,49.33491719,2018/8/5,soybean,Peak
3,125.5273013,49.33491719,2018/7/21,soybean,Maturity
3,125.5273013,49.33491719,2018/9/11,soybean,MidSenescence
3,125.5273013,49.33491719,2018/8/20,soybean,Senescence
3,125.5273013,49.33491719,2018/10/2,soybean,Dormancy
4,125.5355743,49.33544067,2018/5/28,soybean,Greenup
4,125.5355743,49.33544067,2018/6/24,soybean,MidGreenup
4,125.5355743,49.33544067,2018/8/5,soybean,Peak
4,125.5355743,49.33544067,2018/7/21,soybean,Maturity
4,125.5355743,49.33544067,2018/9/11,soybean,MidSenescence
4,125.5355743,49.33544067,2018/8/21,soybean,Senescence
4,125.5355743,49.33544067,2018/10/2,soybean,Dormancy
5,125.5260463,49.32706498,2018/6/9,soybean,Greenup
5,125.5260463,49.32706498,2018/7/2,soybean,MidGreenup
5,125.5260463,49.32706498,2018/8/7,soybean,Peak
5,125.5260463,49.32706498,2018/7/24,soybean,Maturity
5,125.5260463,49.32706498,2018/9/12,soybean,MidSenescence
5,125.5260463,49.32706498,2018/8/22,soybean,Senescence
5,125.5260463,49.32706498,2018/10/1,soybean,Dormancy
6,125.5328853,49.32711257,2018/6/11,soybean,Greenup
6,125.5328853,49.32711257,2018/7/2,soybean,MidGreenup
6,125.5328853,49.32711257,2018/8/7,soybean,Peak
6,125.5328853,49.32711257,2018/7/24,soybean,Maturity
6,125.5328853,49.32711257,2018/9/12,soybean,MidSenescence
6,125.5328853,49.32711257,2018/8/22,soybean,Senescence
6,125.5328853,49.32711257,2018/10/2,soybean,Dormancy
7,125.5479685,49.28537427,2018/6/5,soybean,Greenup
7,125.5479685,49.28537427,2018/6/28,soybean,MidGreenup
7,125.5479685,49.28537427,2018/8/6,soybean,Peak
7,125.5479685,49.28537427,2018/7/22,soybean,Maturity
7,125.5479685,49.28537427,2018/9/13,soybean,MidSenescence
7,125.5479685,49.28537427,2018/8/22,soybean,Senescence
7,125.5479685,49.28537427,2018/10/3,soybean,Dormancy
8,125.5551183,49.28537427,2018/6/8,soybean,Greenup
8,125.5551183,49.28537427,2018/7/1,soybean,MidGreenup
8,125.5551183,49.28537427,2018/8/8,soybean,Peak
8,125.5551183,49.28537427,2018/7/24,soybean,Maturity
8,125.5551183,49.28537427,2018/9/14,soybean,MidSenescence
8,125.5551183,49.28537427,2018/8/23,soybean,Senescence
8,125.5551183,49.28537427,2018/10/4,soybean,Dormancy
9,125.5596466,49.28480321,2018/6/8,soybean,Greenup
9,125.5596466,49.28480321,2018/7/1,soybean,MidGreenup
9,125.5596466,49.28480321,2018/8/8,soybean,Peak
9,125.5596466,49.28480321,2018/7/24,soybean,Maturity
9,125.5596466,49.28480321,2018/9/14,soybean,MidSenescence
9,125.5596466,49.28480321,2018/8/23,soybean,Senescence
9,125.5596466,49.28480321,2018/10/4,soybean,Dormancy
10,125.5669397,49.28508874,2018/6/5,soybean,Greenup
10,125.5669397,49.28508874,2018/6/29,soybean,MidGreenup
10,125.5669397,49.28508874,2018/8/8,soybean,Peak
10,125.5669397,49.28508874,2018/7/24,soybean,Maturity
10,125.5669397,49.28508874,2018/9/14,soybean,MidSenescence
10,125.5669397,49.28508874,2018/8/24,soybean,Senescence
10,125.5669397,49.28508874,2018/10/5,soybean,Dormancy
11,125.5738423,49.28556463,2018/6/6,soybean,Greenup
11,125.5738423,49.28556463,2018/6/29,soybean,MidGreenup
11,125.5738423,49.28556463,2018/8/8,soybean,Peak
11,125.5738423,49.28556463,2018/7/24,soybean,Maturity
11,125.5738423,49.28556463,2018/9/15,soybean,MidSenescence
11,125.5738423,49.28556463,2018/8/24,soybean,Senescence
11,125.5738423,49.28556463,2018/10/5,soybean,Dormancy
12,125.5796812,49.2852791,2018/6/6,soybean,Greenup
12,125.5796812,49.2852791,2018/6/29,soybean,MidGreenup
12,125.5796812,49.2852791,2018/8/8,soybean,Peak
12,125.5796812,49.2852791,2018/7/24,soybean,Maturity
12,125.5796812,49.2852791,2018/9/15,soybean,MidSenescence
12,125.5796812,49.2852791,2018/8/24,soybean,Senescence
12,125.5796812,49.2852791,2018/10/5,soybean,Dormancy
13,125.5616746,49.2809009,2018/6/8,soybean,Greenup
13,125.5616746,49.2809009,2018/7/1,soybean,MidGreenup
13,125.5616746,49.2809009,2018/8/7,soybean,Peak
13,125.5616746,49.2809009,2018/7/24,soybean,Maturity
13,125.5616746,49.2809009,2018/9/14,soybean,MidSenescence
13,125.5616746,49.2809009,2018/8/23,soybean,Senescence
13,125.5616746,49.2809009,2018/10/4,soybean,Dormancy
14,125.5567115,49.28118643,2018/6/8,soybean,Greenup
14,125.5567115,49.28118643,2018/7/1,soybean,MidGreenup
14,125.5567115,49.28118643,2018/8/7,soybean,Peak
14,125.5567115,49.28118643,2018/7/24,soybean,Maturity
14,125.5567115,49.28118643,2018/9/14,soybean,MidSenescence
14,125.5567115,49.28118643,2018/8/23,soybean,Senescence
14,125.5567115,49.28118643,2018/10/4,soybean,Dormancy
15,125.5504872,49.28109125,2018/6/7,soybean,Greenup
15,125.5504872,49.28109125,2018/6/30,soybean,MidGreenup
15,125.5504872,49.28109125,2018/8/6,soybean,Peak
15,125.5504872,49.28109125,2018/7/23,soybean,Maturity
15,125.5504872,49.28109125,2018/9/12,soybean,MidSenescence
15,125.5504872,49.28109125,2018/8/22,soybean,Senescence
15,125.5504872,49.28109125,2018/10/3,soybean,Dormancy
16,125.5695013,49.28128161,2018/6/4,soybean,Greenup
16,125.5695013,49.28128161,2018/6/28,soybean,MidGreenup
16,125.5695013,49.28128161,2018/8/7,soybean,Peak
16,125.5695013,49.28128161,2018/7/23,soybean,Maturity
16,125.5695013,49.28128161,2018/9/14,soybean,MidSenescence
16,125.5695013,49.28128161,2018/8/23,soybean,Senescence
16,125.5695013,49.28128161,2018/10/6,soybean,Dormancy
17,125.5310506,49.25627796,2018/5/27,soybean,Greenup
17,125.5310506,49.25627796,2018/6/24,soybean,MidGreenup
17,125.5310506,49.25627796,2018/8/4,soybean,Peak
17,125.5310506,49.25627796,2018/7/19,soybean,Maturity
17,125.5310506,49.25627796,2018/9/11,soybean,MidSenescence
17,125.5310506,49.25627796,2018/8/20,soybean,Senescence
17,125.5310506,49.25627796,2018/10/2,soybean,Dormancy
18,125.5273276,49.25205442,2018/6/3,soybean,Greenup
