feature,importance
Longitude,0.12897946
Latitude,0.10873736
MNDWI,0.08225061
B_B06,0.06465869
B_B12,0.048617754
NDBI,0.043132585
image_date_doy_cos,0.039687358
B_B11,0.03635425
phenophase_date_doy_cos,0.033760127
NDMI,0.032858588
B_B05,0.03086655
B_B04,0.029551899
B_B07,0.028609669
image_date_doy_sin,0.028372303
phenophase_date_month_sin,0.027743518
B_B09,0.027450379
B_B02,0.024465099
image_date_month_sin,0.024076916
NDVI,0.021909619
B_B03,0.020500332
image_date_month_cos,0.016985655
GNDVI,0.015237545
phenophase_date_doy_sin,0.015045397
B_B01,0.014682483
B_B8A,0.01413168
phenophase_date_month_cos,0.0135741765
B_B08,0.011175223
days_to_image,0.008447796
EVI,0.008137006
