number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9774502127215307,2026-05-02 21:13:53.903033,2026-05-02 21:13:55.037201,0 days 00:00:01.134168,0.6201975341512912,3.200866785899844e-08,0.10260217747726169,200,8,4.550475813202184,799,0.6245760287469893,0.002570603566117598,0.6202083881990965,COMPLETE
1,0.9774498361740358,2026-05-02 21:13:55.040687,2026-05-02 21:13:55.466572,0 days 00:00:00.425885,0.6325320294340453,4.4319427891510175e-06,0.10905623135414558,120,9,1.094334266006264,232,0.00052821153945323,7.71800699380605e-05,0.6318212352431953,COMPLETE
2,0.9712831747157508,2026-05-02 21:13:55.468791,2026-05-02 21:13:56.944444,0 days 00:00:01.475653,0.9033291826268561,5.457028747569545e-07,0.007789346062454282,72,4,1.9315397754283634,1179,0.00042472707398058225,0.0021465011216654484,0.7552314928976662,COMPLETE
3,0.9501712785690343,2026-05-02 21:13:56.947119,2026-05-02 21:13:58.013799,0 days 00:00:01.066680,0.9137788066524075,4.465047064005509e-06,0.008596651413271358,148,2,16.563097558837168,1172,7.569183361880229e-08,0.014391207615728067,0.9845344148835518,COMPLETE
4,0.9477517303606177,2026-05-02 21:13:58.016644,2026-05-02 21:13:58.376347,0 days 00:00:00.359703,0.8481350279592919,5.147131939488118e-06,0.024122301554674205,99,2,14.313829500644555,395,0.0004793052550782129,0.0008325158565947976,0.6664509917200077,COMPLETE
5,0.9682889883634465,2026-05-02 21:13:58.378595,2026-05-02 21:14:00.159016,0 days 00:00:01.780421,0.9648434057604025,5.885639002026109e-08,0.058724190786839874,126,10,13.568664419006934,1752,5.805581976088804e-07,2.5529693461039728e-08,0.8190549904649883,COMPLETE
6,0.9745120946069501,2026-05-02 21:14:00.161776,2026-05-02 21:14:02.523942,0 days 00:00:02.362166,0.7942132374212119,1.682269634871374e-07,0.011843743366810626,254,9,1.8642761165079123,822,0.16587190283399655,4.6876566400928895e-08,0.6764205293593214,COMPLETE
7,0.959465794536044,2026-05-02 21:14:02.532335,2026-05-02 21:14:04.533838,0 days 00:00:02.001503,0.8780532256184443,0.05119854405941497,0.009402419457793049,86,2,10.124839170683375,1436,4.638759594322625e-08,1.683416412018213e-05,0.8680858047314277,COMPLETE
8,0.97991588416429,2026-05-02 21:14:04.538657,2026-05-02 21:14:06.588658,0 days 00:00:02.050001,0.6963324949120362,0.022224001634839095,0.03624541577219684,155,4,0.6321123775566324,1581,0.005470376807480391,0.9658611176861268,0.689942044772048,COMPLETE
9,0.9712831747157508,2026-05-02 21:14:06.591894,2026-05-02 21:14:07.236071,0 days 00:00:00.644177,0.7722080183639759,0.0003525633816265316,0.04823902016027319,84,8,3.9643295217865226,391,7.04480806377519e-05,1.6934490731313353e-08,0.8969352309795524,COMPLETE
10,0.9598488391428156,2026-05-02 21:14:07.238829,2026-05-02 21:14:08.746766,0 days 00:00:01.507937,0.7047403948508567,2.2932870722346603,0.02135255862690931,188,5,0.5342518154571331,1767,0.016209635902427067,5.347016762749368,0.5610011689451483,COMPLETE
11,0.9687633234182731,2026-05-02 21:14:08.749605,2026-05-02 21:14:09.473870,0 days 00:00:00.724265,0.5679235384889875,0.0019137173176726197,0.10101531265315894,203,7,5.433078146646282,753,8.999849785588976,0.9478184390242359,0.7255654257357732,COMPLETE
12,0.9728373685876429,2026-05-02 21:14:09.476805,2026-05-02 21:14:10.658223,0 days 00:00:01.181418,0.6760014418932241,0.019358627736118454,0.04473795957721041,191,6,6.395179086629089,779,0.500715670596799,0.037231196723686424,0.5721241457389133,COMPLETE
13,0.9692948520041723,2026-05-02 21:14:10.661378,2026-05-02 21:14:11.766911,0 days 00:00:01.105533,0.5640866903519266,2.4219775241501464,0.07127466012388585,231,4,2.3794868646567373,1480,0.018592927438277354,0.25099580906941044,0.6284742520263898,COMPLETE
14,0.974599670571379,2026-05-02 21:14:11.769546,2026-05-02 21:14:13.149736,0 days 00:00:01.380190,0.6469993453221734,1.5137405664264527e-08,0.034565507161972986,165,6,0.7788671016015007,1068,5.28967108818626,1.9799745701512205e-05,0.7150312270666511,COMPLETE
15,0.979068880150689,2026-05-02 21:14:13.152626,2026-05-02 21:14:15.079012,0 days 00:00:01.926386,0.7376566307154399,0.052425489071883095,0.018672666169157432,163,4,1.2111937465724205,1424,1.561654479000804e-05,1.974756822499586e-06,0.7893038557536474,COMPLETE
16,0.9806880171221257,2026-05-02 21:14:15.081599,2026-05-02 21:14:17.031714,0 days 00:00:01.950115,0.7437034373066249,0.10062619547603377,0.0154885449117612,160,4,1.0981526227981973,1448,9.58159019407387e-06,1.2692978461207664e-06,0.8136857015060531,COMPLETE
17,0.9790677610662355,2026-05-02 21:14:17.034467,2026-05-02 21:14:18.703843,0 days 00:00:01.669376,0.7950509450628334,0.30444585932715185,0.015325136223682307,140,3,0.5620532890906698,1600,3.8022351721104043e-06,6.714990466181936e-07,0.8470610464338982,COMPLETE
18,0.9728954631426524,2026-05-02 21:14:18.707529,2026-05-02 21:14:21.108099,0 days 00:00:02.400570,0.7260348725456457,0.002648349431048718,0.005158516130647565,171,5,1.050912614636935,1313,0.005763460426681628,7.728355927857519e-07,0.9362859455850049,COMPLETE
19,0.9773045454873261,2026-05-02 21:14:21.111592,2026-05-02 21:14:22.907278,0 days 00:00:01.795686,0.8379291573914638,0.00011412462503970479,0.035309941618829076,112,3,0.7204898913904709,1637,8.179847802312496e-07,8.802075014264656,0.7828086543463301,COMPLETE
20,0.9761251954025286,2026-05-02 21:14:22.910823,2026-05-02 21:14:24.053162,0 days 00:00:01.142339,0.7622764866710303,0.5023881640040241,0.03334400609198721,141,5,1.4106581819382995,1296,7.034589689076872e-05,0.00010494543807024175,0.7229387495301806,COMPLETE
21,0.9777388822561462,2026-05-02 21:14:24.055962,2026-05-02 21:14:26.366889,0 days 00:00:02.310927,0.7328732269352344,0.01744141184297698,0.017016514134609924,173,4,1.0146229834059366,1466,3.419624887827877e-06,1.4816940627005337e-06,0.792834597368445,COMPLETE
22,0.9758320642069243,2026-05-02 21:14:26.369715,2026-05-02 21:14:28.368114,0 days 00:00:01.998399,0.6762356291536981,0.09595209848861018,0.017023496780013376,151,3,2.813933413011996,1604,2.0903448602954012e-05,5.781886928000387e-06,0.8216465232040691,COMPLETE
23,0.9774504957705061,2026-05-02 21:14:28.370864,2026-05-02 21:14:30.322055,0 days 00:00:01.951191,0.7471041633058502,0.003484870202058924,0.027114726937587087,181,4,1.5159982671835088,1379,0.0017992689491902177,2.348964746117554e-07,0.7569277838191149,COMPLETE
24,0.9761251954025286,2026-05-02 21:14:30.324953,2026-05-02 21:14:32.212942,0 days 00:00:01.887989,0.6944484272903296,0.21871164658788453,0.012675835184819859,216,6,0.8157814637680274,965,2.0271104972896714e-05,1.5814444231243417e-07,0.9132661237938848,COMPLETE
