feature,importance
phenophase_date_month_sin,0.2808927
image_date_month_sin,0.16017586
phenophase_date_doy_cos,0.12848645
image_date_doy_cos,0.09334659
phenophase_date_doy_sin,0.074383944
image_date_month_cos,0.06784646
EVI,0.043608636
image_date_doy_sin,0.03587646
phenophase_date_month_cos,0.022565272
Latitude,0.009734285
NDVI,0.009680392
B_B07,0.008902475
days_to_image,0.0077801803
GNDVI,0.0070819035
NDBI,0.007079199
B_B06,0.004500562
B_B05,0.0043855794
B_B09,0.0040136958
B_B04,0.0037796253
B_B03,0.0037572752
NDMI,0.0036050924
B_B12,0.002809929
B_B02,0.002686636
B_B01,0.0024885857
MNDWI,0.002395055
B_B11,0.0023367032
Longitude,0.0022922563
B_B08,0.0020499104
B_B8A,0.0014581946
