number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9930761450687118,2026-05-02 21:14:34.555612,2026-05-02 21:14:35.863670,0 days 00:00:01.308058,0.6201975341512912,3.200866785899844e-08,0.10260217747726169,200,8,4.550475813202184,799,0.6245760287469893,0.002570603566117598,0.6202083881990965,COMPLETE
1,0.9944696673321659,2026-05-02 21:14:35.867170,2026-05-02 21:14:36.381039,0 days 00:00:00.513869,0.6325320294340453,4.4319427891510175e-06,0.10905623135414558,120,9,1.094334266006264,232,0.00052821153945323,7.71800699380605e-05,0.6318212352431953,COMPLETE
2,0.99722371967655,2026-05-02 21:14:36.383586,2026-05-02 21:14:38.932522,0 days 00:00:02.548936,0.9033291826268561,5.457028747569545e-07,0.007789346062454282,72,4,1.9315397754283634,1179,0.00042472707398058225,0.0021465011216654484,0.7552314928976662,COMPLETE
3,0.9851067997541288,2026-05-02 21:14:38.935265,2026-05-02 21:14:40.991842,0 days 00:00:02.056577,0.9137788066524075,4.465047064005509e-06,0.008596651413271358,148,2,16.563097558837168,1172,7.569183361880229e-08,0.014391207615728067,0.9845344148835518,COMPLETE
4,0.9822336053405618,2026-05-02 21:14:40.995107,2026-05-02 21:14:41.636747,0 days 00:00:00.641640,0.8481350279592919,5.147131939488118e-06,0.024122301554674205,99,2,14.313829500644555,395,0.0004793052550782129,0.0008325158565947976,0.6664509917200077,COMPLETE
5,0.9863828460000994,2026-05-02 21:14:41.639616,2026-05-02 21:14:43.951639,0 days 00:00:02.312023,0.9648434057604025,5.885639002026109e-08,0.058724190786839874,126,10,13.568664419006934,1752,5.805581976088804e-07,2.5529693461039728e-08,0.8190549904649883,COMPLETE
6,0.9944627474448027,2026-05-02 21:14:43.954183,2026-05-02 21:14:46.397160,0 days 00:00:02.442977,0.7942132374212119,1.682269634871374e-07,0.011843743366810626,254,9,1.8642761165079123,822,0.16587190283399655,4.6876566400928895e-08,0.6764205293593214,COMPLETE
7,0.9890819874065934,2026-05-02 21:14:46.399968,2026-05-02 21:14:48.658140,0 days 00:00:02.258172,0.8780532256184443,0.05119854405941497,0.009402419457793049,86,2,10.124839170683375,1436,4.638759594322625e-08,1.683416412018213e-05,0.8680858047314277,COMPLETE
8,0.9944696673321659,2026-05-02 21:14:48.661064,2026-05-02 21:14:51.291197,0 days 00:00:02.630133,0.6963324949120362,0.022224001634839095,0.03624541577219684,155,4,0.6321123775566324,1581,0.005470376807480391,0.9658611176861268,0.689942044772048,COMPLETE
9,0.9944627474448027,2026-05-02 21:14:51.294261,2026-05-02 21:14:52.080687,0 days 00:00:00.786426,0.7722080183639759,0.0003525633816265316,0.04823902016027319,84,8,3.9643295217865226,391,7.04480806377519e-05,1.6934490731313353e-08,0.8969352309795524,COMPLETE
10,0.983594515441499,2026-05-02 21:14:52.083443,2026-05-02 21:14:54.905392,0 days 00:00:02.821949,0.958449157877133,2.233659295444848,0.005096210797486196,199,5,1.7974049790725475,1142,8.476957030644504e-06,3.331630946893803,0.7592450782409965,COMPLETE
11,0.9958632362897765,2026-05-02 21:14:54.908194,2026-05-02 21:14:56.341960,0 days 00:00:01.433766,0.5832266485213624,6.514410516983539e-06,0.01989184133285667,64,6,0.7115474570268675,649,0.011066586301486913,1.3005434153186724e-05,0.5805191204931794,COMPLETE
12,0.9958632362897765,2026-05-02 21:14:56.344669,2026-05-02 21:14:57.902014,0 days 00:00:01.557345,0.5651136482205126,0.00013843652612997655,0.017804996726581573,64,6,0.6876036897310311,710,0.025574091808629934,4.050598387852307e-06,0.5613574286800305,COMPLETE
13,0.9891013339402567,2026-05-02 21:14:57.904815,2026-05-02 21:15:00.255812,0 days 00:00:02.350997,0.7353448117387338,6.500301899948628e-05,0.0052341195237772635,64,4,1.5228981453192256,1053,4.875750956053446,0.058674306712737684,0.7453826881986487,COMPLETE
14,0.9944696673321659,2026-05-02 21:15:00.258606,2026-05-02 21:15:03.706351,0 days 00:00:03.447745,0.8448836032500184,4.795207196541445e-07,0.018802585806479675,114,6,0.9208758824944945,1381,0.007112635138831451,3.8365494018334605e-06,0.585045146942959,COMPLETE
15,0.9958632362897765,2026-05-02 21:15:03.709943,2026-05-02 21:15:07.338513,0 days 00:00:03.628570,0.6737682865655729,1.0357324823843644e-08,0.013106600521231259,175,4,2.9637700453233333,614,1.3034562411855866e-05,7.601427295927941e-07,0.9716279422163916,COMPLETE
16,0.9930545895121563,2026-05-02 21:15:07.341798,2026-05-02 21:15:10.494295,0 days 00:00:03.152497,0.5606629351776246,0.002389612253332103,0.0322538805172337,91,6,0.5420728360527807,959,0.001658289873732678,0.0002471178877944872,0.8136857015060531,COMPLETE
17,0.9918689012929732,2026-05-02 21:15:10.497664,2026-05-02 21:15:13.771872,0 days 00:00:03.274208,0.7932703045189022,9.517156272913125e-07,0.007324098804433166,71,7,5.899745588064674,602,0.051909254081281074,0.11784486003308514,0.7229133067594126,COMPLETE
18,0.9931640858727795,2026-05-02 21:15:13.774851,2026-05-02 21:15:18.376127,0 days 00:00:04.601276,0.9166282494502036,2.3092850138397354e-05,0.01502292113174334,130,3,1.2190557057769065,1302,3.425702062416929e-05,0.006093812542810912,0.9229013106392094,COMPLETE
