,lower,upper
days_to_image,0.0,21.0
B_B01,0.0049000000581145,1.0194820451736388
B_B02,0.012903000432997903,0.9081150180101296
B_B03,0.024912000522017416,0.8455040091276163
B_B04,0.013205999918282006,0.8125719898939118
B_B05,0.03352700084447858,0.8917159771919225
B_B06,0.05861500095576046,0.8824770087003699
B_B07,0.0677119985967874,0.8928060227632503
B_B08,0.06541199713945384,0.8572900158166872
B_B09,0.04622699975967399,1.5854829514026614
B_B11,0.0263999998569488,0.6347109746932971
B_B12,0.01741200022399421,0.562096973657604
B_B8A,0.0644000023603439,0.8790449988841994
NDVI,0.030558932778164,0.9280482177361078
NDBI,-0.5434468014703797,0.3132901467266269
NDMI,-0.3132901467266269,0.5434468014703797
GNDVI,0.014964170855822488,0.8443880449163699
EVI,-0.14375567904589714,0.9659013582348828
MNDWI,-0.6771158870864492,0.34536635710920865
phenophase_date_doy_sin,-0.9999631612477099,0.522132581076825
phenophase_date_doy_cos,-0.9998526477050269,0.42391439070986053
phenophase_date_month_sin,-1.0,0.49999999999999994
phenophase_date_month_cos,-1.0,0.5000000000000001
image_date_doy_sin,-0.9999631612477099,0.5511016400746
image_date_doy_cos,-0.9986740898848305,0.3925739646141719
image_date_month_sin,-1.0,0.49999999999999994
image_date_month_cos,-1.0,0.5000000000000001
Longitude,124.954369034,134.4607186
Latitude,44.93456643,49.3813477321
